ID,Name,Address,City,State,Zip,Latitude,Longitude,ShapeName,ShapeType,ShapeDistance,Households,Total_Population,Mosaic_A,Mosaic_A01,Mosaic_A02,Mosaic_A03,Mosaic_A04,Mosaic_A05,Mosaic_A06,Mosaic_A_Pct,Mosaic_A01_Pct,Mosaic_A02_Pct,Mosaic_A03_Pct,Mosaic_A04_Pct,Mosaic_A05_Pct,Mosaic_A06_Pct,Median_HH_Income,Kids_250k,Kids_500k,HH_GT_250k,HH_GT_500k,HH_GT_250k_Pct,HH_GT_500k_Pct
116,100116,,,,,30.720000,-97.680000,20 minute Drive Time,P,20,39705.297580361395,101111.81107401155,6132.6410539300923,2034.5486240738442,963.39208158737665,647.61526200046319,815.88236607697206,1668.2027201914295,3,0.154453975354748,0.0512412385263207,0.0242635653249424,0.0163105505175909,0.0205484511084615,0.0420146132091083,7.55566683243756E-05,98338.5766346427,853.4116874265618,347.52082044802086,2984.9016484943277,1215.4924582406318,0.0751764079453893,0.0306128535060225
1160,101160,,,,,30.480000,-97.860000,20 minute Drive Time,P,20,40516.831019745019,107246.56871087663,10015.96703675326,2670.3027571003527,963.0033059755923,2375.7490556829812,355.24902630102889,3300.1105722311131,351.55231946212825,0.247205094393295,0.0659060121409554,0.023767981891434,0.0586361024761589,0.00876793711057772,0.0814503624585761,0.00867669831559153,105918.17740854,1230.3100896279793,382.99455498583774,3347.4470305933273,1042.0576053378725,0.0826186783700339,0.0257191290412137
1161,101161,,,,,30.480000,-97.845000,20 minute Drive Time,P,20,42781.150899077358,111675.73234630561,10942.693182070259,2659.8926400266405,1111.0603086631972,2629.6832226274273,352.34516504493672,3779.2049062079177,410.5069395000649,0.255783048190652,0.0621744058803244,0.0259707905307232,0.0614682673879197,0.00823599079594971,0.0883380841044513,0.00959550949128202,106892.413000925,1240.622838924068,395.20317421408208,3444.3323736662182,1097.1997648388669,0.0805105122532012,0.0256468033650429
1162,101162,,,,,30.480000,-97.830000,20 minute Drive Time,P,20,55688.197513895415,142563.16489471035,13451.624784023652,2975.3841047595288,1145.5479681833124,3388.5210856943022,375.21973758060574,4940.1838331584213,626.76805464746963,0.241552526110531,0.0534293483644736,0.0205707496260311,0.0608481013386866,0.00673786824375094,0.0887115053764442,0.0112549531611447,107532.345865349,1558.70774898737,506.52956671920293,4383.6266518310695,1424.5367741664675,0.0787173377399629,0.0255805868705126
1163,101163,,,,,30.480000,-97.815000,20 minute Drive Time,P,20,57679.693540259133,145705.17720711144,14413.295921523835,3328.1512569068686,1100.8032976533896,3760.3648748952996,352.66923971685947,5189.5187212107721,681.78853114069693,0.249885098842692,0.0577005710785182,0.0190847632864945,0.0651939121741458,0.00611427034491271,0.0899713296428769,0.0118202523157448,109444.822984608,1563.4732885688909,572.45302970211321,4519.7575158788095,1654.8724576241573,0.0783595965662356,0.0286907290252694
1164,101164,,,,,30.480000,-97.800000,20 minute Drive Time,P,20,82907.144956621836,207824.84707955224,20030.663260177742,4484.420895793236,1485.1401615332945,5260.699455867275,494.93431023714595,7566.59713491267,738.8713018342313,0.241603582787202,0.0540896794617587,0.0179132951968174,0.0634529081735928,0.00596974254144323,0.0912659233274963,0.00891203408609498,105899.81750658,2078.1060599450816,789.77237780434768,6159.1948994733912,2340.7669583746174,0.0742902786327519,0.0282335974734064
1165,101165,,,,,30.480000,-97.785000,20 minute Drive Time,P,20,38547.2831003073,95269.345932052223,10388.18519912073,1689.7258708232678,824.83926055825145,2890.13926892637,222.54690126457621,4284.7789630014795,476.15493454681496,0.269492020282953,0.043835148288565,0.0213981166561561,0.0749764714002199,0.00577334855702974,0.111156445237701,0.0123524901432812,112163.56494805,1029.014343386061,368.26275715999026,3058.4800113087358,1094.5661631663986,0.07934359480926309,0.0283954166190684
1166,101166,,,,,30.480000,-97.770000,20 minute Drive Time,P,20,91713.838471553521,222880.56220394847,19377.763857447255,3159.2512096724204,1499.3242860370924,5021.3715624574033,650.24587286094322,8341.9770309041014,705.59389551540494,0.211285059925363,0.0344468322591504,0.016347852309138,0.0547504242123162,0.00708994284502253,0.090956579398773,0.00769342890096412,102276.92808673,1884.4933245971686,712.64644489174816,5912.9392773045365,2236.0573528338823,0.0644716149257947,0.0243808065401976
1167,101167,,,,,30.480000,-97.755000,20 minute Drive Time,P,20,96854.47890328092,230523.0409011567,18067.054271411962,2864.7399435292186,1456.8523669482806,4405.243813271305,662.58123982268012,7950.2909205038677,727.34598733668724,0.186538139237255,0.0295777745744722,0.0150416623314147,0.0454831192439783,0.00684099741514623,0.0820849072807778,0.0075096783914662,96592.5280758454,1742.9684165258548,642.57382281502794,5770.6364193225527,2127.4395272352408,0.0595804807858718,0.0219653190159611
1168,101168,,,,,30.480000,-97.740000,20 minute Drive Time,P,20,100354.60250483829,235532.98630548923,17393.627781883642,2785.5827057536576,1444.5419077599036,4120.0057075951117,708.30853557721264,7581.0721566566672,754.11676854118718,0.173321674818502,0.0277573986267282,0.0143943762588294,0.0410544768726126,0.00705805730776587,0.0755428447468682,0.00751452100569906,93896.4521052385,1664.3897646575576,614.77149766898322,5741.8602848830114,2120.8566176624249,0.05721571449208,0.0211336258101383
1169,101169,,,,,30.480000,-97.725000,20 minute Drive Time,P,20,77391.462406653372,181252.62641705896,13159.751576800105,2477.4732722899207,1084.3875868849943,3032.8945087861161,493.96801454966061,5493.64820492138,577.37998936806378,0.170041386576367,0.0320122297117483,0.0140117211015742,0.0391890063124764,0.00638271973663072,0.0709851969982814,0.00746051271565617,93876.7238347487,1274.2444323043781,485.92453817827146,4478.5221923008521,1707.854296117574,0.0578684269948081,0.0220677351610654
117,100117,,,,,30.720000,-97.665000,20 minute Drive Time,P,20,43969.843229885781,113984.8122185705,6266.5187751510412,1930.3794605263236,1004.3984079455741,654.7524571787884,845.47235519823062,1828.0120292614627,3.5040650406504068,0.142518560786948,0.0439023503093654,0.0228428926319868,0.0148909436350631,0.019228459623517,0.0415742221254722,7.96924615430226E-05,95380.4717791874,900.98008754174975,363.31136752296027,3007.0945147814082,1212.5813162162717,0.0683899303224607,0.0275775674222121
1170,101170,,,,,30.480000,-97.710000,20 minute Drive Time,P,20,98434.801943221973,229768.50503446074,16686.094144499049,2861.0044723163874,1423.7022150642631,3857.6813806361265,712.17248505940245,7112.9574826024364,718.57610882044685,0.16951417400244,0.0290649690540002,0.0144634030541908,0.039190218342302,0.00723496640416049,0.0722605962747327,0.0073000208730539,92700.7401062759,1579.49205016762,592.74196089533484,5548.31746522938,2082.1380985493952,0.0563654048740779,0.0211524588605399
1171,101171,,,,,30.480000,-97.695000,20 minute Drive Time,P,20,96031.028773747559,229489.61769389838,14419.360836015483,2499.5217072363703,1170.671669284412,3053.0476637799416,594.062565413851,6484.2931797411175,617.764050559767,0.150153143417718,0.0260282716862831,0.0121905563673857,0.0317923040371985,0.00618615225724055,0.0675228961153622,0.00643296295424722,91257.6561935138,1515.0975280187872,570.64608187464614,5095.99335242341,1919.3540917608857,0.0530661122503409,0.0199868117239788
1172,101172,,,,,30.480000,-97.680000,20 minute Drive Time,P,20,85842.29864409774,210961.92212798022,11366.207005991286,2023.5182445238402,782.51242937683992,2334.8033648093979,452.26802986139057,5316.03470780825,457.0702296114784,0.132407999151043,0.0235725076854401,0.00911569752600798,0.0271987516840561,0.00526859178988781,0.0619279165606752,0.00532453390497489,89879.5313778351,1354.2830454995037,510.14835713633136,4285.1309619823569,1614.1769828943266,0.049918641854507104,0.0188039813517425
